Equilibrium Population"","seeds","plants"
"season 1",3941.91220406004,0
"season 2",1189.27491196491,74.9967450345804
"season 3",3.86307395997889,342.301130167242
___________________________

Equilibrium Population Distribution at Nodes"","season 1","season 2","season 3"
"X1",0.125680683794567,0.119459345921898,0.114994502623804
"X2",0.123996033867665,0.130290985749497,0.134539821111955
"X3",0.125165975581755,0.125092210528292,0.125329303550563
"X4",0.125156556921155,0.125156658053035,0.125135666059437
"X5",0.125156544594861,0.125156658387492,0.125135678291594
"X6",0.125166165004625,0.125092465319169,0.125329563401178
"X7",0.123997335332345,0.130292233270402,0.134540827156535
"X8",0.125680704903028,0.119459442770216,0.114994637804935
___________________________

Equilibrium Population Distribution along Paths:   Season 1"","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.113267804898085,0.0125853116553427,0,0,0,0,0,0
"X2",0.00619154102381317,0.111447738428637,0.00619154102381317,0,0,0,0,0
"X3",0,0.00625793566551667,0.1126428419793,0.00625793566551667,0,0,0,0
"X4",0,0,0.00625782752517832,0.11264089545321,0.00625782752517832,0,0,0
"X5",0,0,0,0.00625782693430881,0.112640884817558,0.00625782693430881,0,0
"X6",0,0,0,0,0.00625794604475564,0.112643028805601,0.00625794604475564,0
"X7",0,0,0,0,0,0.0061916095792584,0.111448972426651,0.0061916095792584
"X8",0,0,0,0,0,0,0.0125853147989952,0.113267833190957
___________________________

Equilibrium Population Distribution along Paths:   Season 2"","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.108866397174743,0.0112373003316255,0,0,0,0,0,0
"X2",0.00612810544906158,0.117418934494111,0.00612810544906158,0,0,0,0,0
"X3",0,0.00588358628621815,0.113314580590787,0.00588358628621815,0,0,0,0
"X4",0,0,0.00588661751071376,0.113365462246774,0.00588661751071376,0,0,0
"X5",0,0,0,0.00588661752644461,0.113365462510829,0.00588661752644461,0,0
"X6",0,0,0,0,0.00588359827005075,0.113314781749781,0.00588359827005075,0
"X7",0,0,0,0,0,0.00612816412495244,0.117419919444532,0.00612816412495244
"X8",0,0,0,0,0,0,0.0112373094419519,0.108866473679983
___________________________

Equilibrium Population Distribution along Paths:   Season 3"","X1","X2","X3","X4","X5","X6","X7","X8"
"X1",0.125605319983035,0.000127251298695185,0,0,0,0,0,0
"X2",0.0000755857174872358,0.123800545187045,0.0000755857174872358,0,0,0,0,0
"X3",0,0.0000699461507358578,0.12502068405077,0.0000699461507358578,0,0,0,0
"X4",0,0,0.0000698334739215049,0.125015621884919,0.0000698334739215049,0,0,0
"X5",0,0,0,0.0000698334811885799,0.125015621596375,0.0000698334811885799,0,0
"X6",0,0,0,0,0.0000699463135020042,0.125020642912871,0.0000699463135020042,0
"X7",0,0,0,0,0,0.0000755863564854247,0.123800283558303,0.0000755863564854247
"X8",0,0,0,0,0,0,0.000127251465576177,0.125605315075768
___________________________

